created_date,Agency,datasets_created
2023-01-19,CDC,1
2023-01-24,CDC,1
2023-01-25,CDC,1
2023-01-26,CDC,1
2023-02-17,CDC,2
2023-02-22,CDC,2
2023-03-10,CDC,1
2023-03-24,CDC,1
2023-03-31,CDC,1
2023-04-04,CDC,1
2023-04-10,CDC,2
2023-04-13,CDC,1
2023-04-18,CDC,1
2023-04-25,CDC,1
2023-04-30,CDC,2
2023-05-04,CDC,2
2023-05-09,CDC,10
2023-05-10,CDC,1
2023-05-11,CDC,10
2023-05-15,CDC,2
2023-05-16,CDC,3
2023-05-23,CDC,1
2023-05-24,CDC,1
2023-05-30,CDC,1
2023-06-05,CDC,1
2023-06-06,CDC,3
2023-06-08,CDC,1
2023-06-15,CDC,9
2023-06-20,CDC,2
2023-06-22,CDC,2
2023-06-23,CDC,4
2023-06-27,CDC,2
2023-06-28,CDC,1
2023-06-30,CDC,2
2023-07-03,CDC,1
2023-07-05,CDC,1
2023-07-06,CDC,2
2023-07-24,CDC,1
2023-08-02,CDC,1
2023-08-09,CDC,1
2023-08-15,CDC,2
2023-08-29,CDC,1
2023-09-01,CDC,1
2023-09-06,CDC,1
2023-09-21,CDC,2
2023-09-26,CDC,1
2023-09-27,CDC,5
2023-10-06,CDC,1
2023-10-19,CDC,1
2023-10-20,CDC,3
2023-10-26,CDC,1
2023-10-31,CDC,1
2023-11-01,CDC,1
2023-11-03,CDC,2
2023-11-08,CDC,1
2023-11-13,CDC,1
2023-11-16,CDC,1
2023-11-20,CDC,1
2023-11-21,CDC,2
2023-11-30,CDC,1
2023-12-04,CDC,1
2023-12-05,CDC,1
2023-12-08,CDC,3
2023-12-09,CDC,4
2023-12-12,CDC,1
2023-12-13,CDC,2
2023-12-15,CDC,1
2023-12-18,CDC,1
2023-12-19,CDC,1
2023-12-20,CDC,1
2024-01-09,CDC,1
2024-01-13,CDC,1
2024-01-15,CDC,1
2024-01-16,CDC,2
2024-01-23,CDC,2
2024-01-24,CDC,5
2024-02-02,CDC,2
2024-02-05,CDC,1
2024-02-15,CDC,1
2024-02-16,CDC,2
2024-02-20,CDC,2
2024-02-21,CDC,1
2024-02-23,CDC,3
2024-02-26,CDC,1
2024-02-27,CDC,2
2024-02-28,CDC,1
2024-02-29,CDC,2
2024-03-01,CDC,1
2024-03-11,CDC,1
2024-03-19,CDC,1
2024-03-20,CDC,2
2024-04-01,CDC,1
2024-04-02,CDC,1
2024-04-17,CDC,1
2024-04-24,CDC,10
2024-04-30,CDC,1
2024-05-01,CDC,1
2024-05-02,CDC,1
2024-05-07,CDC,2
2024-05-23,CDC,1
2024-06-14,CDC,1
2024-06-26,CDC,1
2024-07-09,CDC,1
2024-07-10,CDC,8
2024-07-17,CDC,1
2024-07-24,CDC,2
2024-08-22,CDC,1
2024-09-17,CDC,1
2024-09-18,CDC,3
2024-09-20,CDC,2
2024-09-21,CDC,1
2024-09-23,CDC,7
2024-09-26,CDC,3
2024-09-27,CDC,1
2024-09-30,CDC,1
2024-10-01,CDC,3
2024-10-04,CDC,4
2024-10-08,CDC,1
2024-10-09,CDC,1
2024-10-10,CDC,1
2024-10-14,CDC,3
2024-10-15,CDC,1
2024-10-17,CDC,1
2024-10-21,CDC,1
2024-10-22,CDC,6
2024-10-28,CDC,2
2024-10-31,CDC,1
2024-11-01,CDC,1
2024-11-12,CDC,1
2024-11-13,CDC,7
2024-11-14,CDC,17
2024-11-15,CDC,75
2024-11-18,CDC,1
2024-11-22,CDC,1
2024-11-29,CDC,3
2024-12-02,CDC,2
2024-12-03,CDC,1
2024-12-05,CDC,1
2024-12-06,CDC,3
2024-12-09,CDC,8
2024-12-10,CDC,1
2024-12-12,CDC,1
2024-12-18,CDC,1
2024-12-27,CDC,2
2024-12-30,CDC,1
2025-01-10,CDC,1
2025-01-31,CDC,1
2025-02-12,CDC,6
2025-02-14,CDC,1
2025-02-18,CDC,4
2025-02-20,CDC,3
2025-02-21,CDC,1
2025-03-03,CDC,1
2025-03-04,CDC,2
2025-03-06,CDC,8
2025-03-07,CDC,1
2025-03-10,CDC,1
2025-03-14,CDC,1
2025-03-17,CDC,2
2025-03-21,CDC,1
2025-04-02,CDC,3
2025-04-03,CDC,2
2025-04-21,CDC,1
2025-04-29,CDC,3
2025-05-01,CDC,1
2025-05-02,CDC,1
2025-05-13,CDC,1
2025-05-14,CDC,1
2025-05-16,CDC,1
2025-06-13,CDC,1
2025-06-25,CDC,9
2025-06-26,CDC,1
2025-06-27,CDC,2
2025-06-28,CDC,6
2025-06-29,CDC,9
2025-06-30,CDC,12
2025-07-01,CDC,5
2025-07-02,CDC,6
2025-07-09,CDC,1
